2022-04-04 16:06:47,105 | Network_comissioning | INFO | serial opened
2022-04-04 16:08:16,326 | Network_comissioning | INFO | serial opened
2022-04-04 16:08:37,822 | Network_comissioning | INFO | serial opened
2022-04-04 16:11:04,853 | Network_comissioning | INFO | serial opened
2022-04-04 16:11:26,917 | Network_comissioning | INFO | serial opened
2022-04-04 16:31:48,749 | Network_comissioning | INFO | serial opened
2022-04-04 16:32:35,996 | Network_comissioning | INFO | serial opened
2022-04-04 16:33:22,109 | Network_comissioning | INFO | serial opened
2022-04-04 16:34:32,360 | Network_comissioning | INFO | serial opened
2022-04-04 16:35:21,384 | Network_comissioning | INFO | serial opened
2022-04-04 16:36:15,592 | Network_comissioning | INFO | serial opened
2022-04-04 16:37:25,359 | Network_comissioning | INFO | serial opened
2022-04-04 16:37:46,804 | Network_comissioning | INFO | serial opened
2022-04-04 16:38:21,583 | Network_comissioning | INFO | serial opened
2022-04-04 16:38:35,031 | Network_comissioning | INFO | serial opened
2022-04-04 16:38:56,610 | Network_comissioning | INFO | serial opened
2022-04-04 16:40:21,512 | Network_comissioning | INFO | serial opened
2022-04-04 16:40:46,675 | Network_comissioning | INFO | serial opened
2022-04-04 16:41:28,266 | Network_comissioning | INFO | serial opened
2022-04-04 16:42:00,364 | Network_comissioning | INFO | serial opened
2022-04-04 16:42:40,133 | Network_comissioning | INFO | serial opened
2022-04-04 16:48:00,710 | Network_comissioning | INFO | serial opened
2022-04-04 16:49:28,964 | Network_comissioning | INFO | serial opened
2022-04-04 16:50:45,222 | Network_comissioning | INFO | serial opened
2022-04-04 16:51:36,900 | Network_comissioning | INFO | serial opened
2022-04-04 16:55:12,829 | Network_comissioning | INFO | serial opened
2022-04-04 16:55:52,419 | Network_comissioning | INFO | serial opened
2022-04-04 16:56:57,305 | Network_comissioning | INFO | serial opened
2022-04-04 16:59:37,206 | Network_comissioning | INFO | serial opened
2022-04-04 17:00:48,637 | Network_comissioning | INFO | serial opened
2022-04-04 17:01:13,553 | Network_comissioning | INFO | serial opened
2022-04-04 17:02:17,496 | Network_comissioning | INFO | serial opened
2022-04-04 17:02:49,319 | Network_comissioning | INFO | serial opened
2022-04-04 17:04:26,053 | Network_comissioning | INFO | serial opened
2022-04-04 17:04:38,898 | Network_comissioning | INFO | serial opened
